tweet_id,sentiment,author,content,langue_detectee
1960210481,happiness,SirPsycho84,@Cholle2001 lucky...you get to do capoeira,es
1960296801,worry,the_real_tobi,no please!,es
1960380177,hate,jamiehigh,http://twitpic.com/66mw1 - My poor car,es
1960674778,worry,Raph4,@MarceloN rlly dead?  Descanse em paz... #luto #sad #RIP,es
1961963579,sadness,jkpelaez,charlies roastbeef: mostaza no manejamos. WTF?,es
1962069091,neutral,rigle1818,@taragracee,es
1962190322,neutral,MahouKame,@Madrox My condolences.,es
1962478823,surprise,quidnose,@Vancesa oh no your poor car's testicles,es
1962821923,hate,christiancuervo,Funerals are no bueno,es
1962956152,empty,DanyelleTauryce,deadlines!,es
1963857563,empty,littlemissgigi,Fidel has no balls,es
1964215211,neutral,conniecrosby,@egsa no plan currently,es
1964767263,worry,Anfetas,"@misspostit Na, ya ando pelon",es
1965448631,worry,birrrd,Santa monica bound,es
1965546055,worry,sofiaramirezU,En el salon.. Que caliente el blower ouch,es
1965589294,worry,abbyavaryxo,@HolidayParade so close to tennessee,es
1965916547,sadness,Pixie_Anna,@no_surprises unfortunately yes,es
1694236912,neutral,loekessers,hee hallo @questredactie,es
1694588816,neutral,JavierSamaniego,Me hice una maruchan,es
1694686023,love,sweethome,"@judoracio Bom dia! FRIOOOO... que delï¿½cia!!!! Good luck in your first day, Ju!",es
1694833521,neutral,gmxcrew,@Macintoshtipz I'm entering your contest,es
1694880992,fun,aanlouise,@jason_mraz http://twitpic.com/4iq19 - popcorn crazy dude and still adorable,es
1695002255,enthusiasm,upidisiini,is upload video geje di youtube  http://plurk.com/p/rqaoe,es
1695220814,empty,ernibob,@REGYATES yes  lol,es
1695221981,neutral,cubanas,@pincheguera I got you today,es
1695656873,neutral,miiquiita_jonas,En el colectivo jodiendo con las chicas  i promisse upload photos then.,es
1695845180,neutral,ilan,@jberrebi Use mozy.com,es
1696085853,neutral,ravegabe,"@ravegabe If you do, I'm sure you'll enjoy",es
1696089008,happiness,addictedtonkotb,@tractorqueen Will do,es
1696215891,neutral,AngelikSweet,"Morning!! ... ^-^ escuchando el  Soundtrack de Twilight que Gaby me trajoooooo! la adoro  ...(muse, paramore, perry farrell...)",es
1751467622,neutral,ayyorudy,@victor_go you sure ?,es
1753534455,neutral,larizzard,@selenagomez your mad,es
1753789805,neutral,NoSheds,@LJRICH hello - as requested,es
